policy,split,macro_f1,pr_auc,recall,fpr,accuracy,note
ip_only,random,1.0,1.0,1.0,0.0,1.0,
ip_only,temporal,1.0,1.0,1.0,0.0,1.0,
ip_only,LODO→ToN-IoT,0.5740435516949349,0.49299751414133136,0.3518280044327697,0.19712836951961402,0.627044,feats=2
ip_only,LODO→CSE-CIC,0.46225544049614464,0.2205882441817121,0.0,0.012728809627174395,0.859619,feats=2
full_keep_ip,random,0.9999793056600014,1.0,1.0,4.468814378857145e-06,0.9999957724299016,
full_keep_ip,temporal,0.9999801434277379,0.999999998832717,0.9999758407421724,4.632922007074472e-06,0.9999936586448525,
full_keep_ip,LODO→ToN-IoT,0.708816116673681,0.6001555290219542,0.46695944836644226,0.06454531151667715,0.752824,feats=51
full_keep_ip,LODO→CSE-CIC,0.4614567042231773,0.21577680185382864,0.0001237451468700212,0.016353471107221528,0.856479,feats=51
full_drop_ip,random,0.9999896526389889,0.9999999969337068,1.0,2.2344071894285727e-06,0.9999978862149508,
full_drop_ip,temporal,0.9999669057128965,0.9999999918290186,0.9999516814843448,6.949383010611708e-06,0.999989431074754,
full_drop_ip,LODO→ToN-IoT,0.3781199372496773,0.6193259562399918,0.0002026555573797406,0.004452813614432557,0.607538,feats=47
full_drop_ip,LODO→CSE-CIC,0.46307577128576355,0.2935621409115178,0.0017324320561802966,0.01589292318152479,0.857088,feats=47
ip_only_ohe,LODO→ToN-IoT,0.3789498787710163,0.389824,0.0,0.0,0.610176,OHE unknown→零向量
ip_only_ohe,LODO→CSE-CIC,0.46544131561306934,0.129298,0.0,0.0,0.870702,OHE unknown→零向量
