source,target,model,train_size,seed,recall,pr_auc,frac_proba_40_50,fpr,random_baseline
CSE-CIC,UNSW,LightGBM,500000,42,0.009762332586184539,0.05172246223216575,0.0,0.12392589139518634,0.053983
CSE-CIC,UNSW,LogReg,500000,42,0.007280069651556972,0.03781303666583621,7.409740103365875e-05,0.039008812738037475,0.053983
CSE-CIC,ToN-IoT,LightGBM,500000,42,0.00756238712855032,0.7790933671623228,0.003994110162534888,0.0016290381791483114,0.389824
CSE-CIC,ToN-IoT,LogReg,500000,42,0.9885384173370547,0.4728810000607389,0.00021291659825972746,0.903622889133627,0.389824
CSE-CIC,UNSW,LightGBM,1000000,42,0.011244280606857714,0.0427478107921738,0.00025934090361780563,0.03268757326771084,0.053983
CSE-CIC,UNSW,LogReg,1000000,42,0.03617805605468388,0.04196420499123751,0.0002778652538762203,0.04805093354559167,0.053983
CSE-CIC,ToN-IoT,LightGBM,1000000,42,0.04116473075028731,0.7934216498697138,0.019093231817435562,0.0026434995804489195,0.389824
CSE-CIC,ToN-IoT,LogReg,1000000,42,0.9868171277294369,0.477873334778921,0.0011569323592185191,0.8960054148311307,0.389824
CSE-CIC,UNSW,LightGBM,1000000,1,0.001537521071448419,0.09276381380144524,0.009465942982049905,0.01731364235526423,0.053983
CSE-CIC,UNSW,LogReg,1000000,1,0.039549487801715355,0.042394151520225826,0.00020376785284256153,0.049103768748341735,0.053983
CSE-CIC,ToN-IoT,LightGBM,1000000,1,0.03461818666885569,0.787017508855509,0.014545025447381382,0.010026615271659324,0.389824
CSE-CIC,ToN-IoT,LogReg,1000000,1,0.9872147430635364,0.4447052146900139,0.00024113446067969136,0.901589049716803,0.389824
CSE-CIC,UNSW,LightGBM,1000000,2,0.007020728747939166,0.046868947991503,0.004297649259952207,0.17056775935316174,0.053983
CSE-CIC,UNSW,LogReg,1000000,2,0.03838245373543523,0.04139046716255091,0.00018524350258414685,0.06023358988263425,0.053983
CSE-CIC,ToN-IoT,LightGBM,1000000,2,0.04292193400098506,0.7846614591074814,0.005882141684452471,0.0034514631843927,0.389824
CSE-CIC,ToN-IoT,LogReg,1000000,2,0.9874148333606961,0.4738440951297821,0.0010928008537186011,0.9049536527165932,0.389824
CSE-CIC,UNSW,LightGBM,2000000,42,0.045088268528981346,0.0632646763041414,0.0017042402237741512,0.03636403996968342,0.053983
CSE-CIC,UNSW,LogReg,2000000,42,0.03288072170868607,0.04695011135348632,7.409740103365875e-05,0.019840024016481734,0.053983
CSE-CIC,ToN-IoT,LightGBM,2000000,42,0.03361773518305697,0.7780257355184051,0.011887415859464784,0.004457730228655339,0.389824
CSE-CIC,ToN-IoT,LogReg,2000000,42,0.987507182728616,0.4667274004779237,0.0010184083073386965,0.9025395951332075,0.389824
CSE-CIC,UNSW,LightGBM,3000000,42,0.009558564733341978,0.054377569909735614,0.00011114610155048812,0.02283045653513626,0.053983
CSE-CIC,UNSW,LogReg,3000000,42,0.024655910193949946,0.04812493725664489,0.0016116184724820778,0.019544046248640354,0.053983
CSE-CIC,ToN-IoT,LightGBM,3000000,42,0.03165018059431949,0.7844680987465862,0.013064870300443277,0.00248289018250472,0.389824
CSE-CIC,ToN-IoT,LogReg,3000000,42,0.9865811237891972,0.46443634435327574,0.0002924396650796257,0.8960398311306902,0.389824
UNSW,ToN-IoT,LightGBM,500000,42,0.019075274995895584,0.3641431149544262,0.00012056723033984568,0.0038169315082861336,0.389824
UNSW,ToN-IoT,LogReg,500000,42,0.9994510343129207,0.39015331520645385,2.5652602199967164e-06,0.9978498007132368,0.389824
UNSW,ToN-IoT,LightGBM,1000000,42,0.21158779346576917,0.5352404787460233,0.007842000492529963,0.01786697608558842,0.389824
UNSW,ToN-IoT,LogReg,1000000,42,0.9994689911344606,0.39018591409064485,0.0,0.9978514395846444,0.389824
UNSW,ToN-IoT,LightGBM,1000000,1,0.05380889837465112,0.3117228904984701,0.05216456657363323,0.3365340491923642,0.389824
UNSW,ToN-IoT,LogReg,1000000,1,0.9994689911344606,0.3901807895141481,2.5652602199967164e-06,0.9978514395846444,0.389824
UNSW,ToN-IoT,LightGBM,1000000,2,0.4135840789689706,0.3344476016611039,0.0026268264652766376,0.4010826384518565,0.389824
UNSW,ToN-IoT,LogReg,1000000,2,0.9994305122311608,0.3901740491777273,0.0,0.9978383286133837,0.389824
UNSW,ToN-IoT,LightGBM,2000000,42,0.2945996141848629,0.5755278258007128,0.00036426695123953373,0.030905837004405287,0.389824
UNSW,ToN-IoT,LogReg,2000000,42,0.9994459037924807,0.3901777073754853,0.0,0.9978465229704216,0.389824
UNSW,ToN-IoT,LightGBM,2365424,42,0.00016161139385979315,0.49785494692628907,2.5652602199967164e-06,0.0070045363960562195,0.389824
UNSW,ToN-IoT,LogReg,2365424,42,0.9994561648333607,0.3901824208075187,0.0,0.9978465229704216,0.389824
